SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
53.65,20070,17274,1348.9,1447.2,1009.2,400,0.31759,0.26343,0.032416,0.021751
53.7,20009,17231,1352.1,1425.6,1011.9,400,0.3167,0.26278,0.032493,0.021427
53.75,19948,17189,1355.3,1404,1014.7,400,0.3158,0.26213,0.03257,0.021102
53.8,19887,17146,1358.5,1382.4,1017.5,400,0.3149,0.26148,0.032647,0.020777
53.85,19826,17103,1361.7,1360.8,1020.3,400,0.314,0.26083,0.032725,0.020453
53.9,19765,17060,1365,1339.2,1023.1,400,0.3131,0.26017,0.032804,0.020128
53.95,19703,17017,1368.3,1317.6,1026,400,0.3122,0.25951,0.032884,0.019804
54,19642,16974,1371.7,1296,1028.8,400,0.3113,0.25886,0.032964,0.019479
54.05,19580,16931,1375,1274.4,1031.7,400,0.3104,0.2582,0.033045,0.019154
54.1,19519,16888,1378.4,1252.8,1034.6,400,0.30949,0.25754,0.033127,0.01883
54.15,19457,16844,1381.9,1231.2,1037.5,400,0.30859,0.25687,0.033209,0.018505
54.2,19395,16800,1385.3,1209.6,1040.4,400,0.30768,0.25621,0.033292,0.01818
54.25,19333,16757,1388.8,1188,1043.3,400,0.30677,0.25554,0.033376,0.017856
54.3,19272,16713,1392.3,1166.4,1046.2,400,0.30586,0.25487,0.03346,0.017531
54.35,19209,16669,1395.9,1144.8,1049.2,400,0.30495,0.2542,0.033545,0.017206
54.4,19147,16625,1399.5,1123.2,1052.2,400,0.30404,0.25353,0.033631,0.016882
54.45,19085,16580,1403.1,1101.6,1055.2,400,0.30313,0.25285,0.033718,0.016557
54.5,19023,16536,1406.7,1080,1058.2,400,0.30221,0.25217,0.033806,0.016232
54.55,18960,16491,1410.4,1058.4,1061.2,400,0.3013,0.2515,0.033894,0.015908
54.6,18898,16447,1414.1,1036.8,1064.3,400,0.30038,0.25081,0.033983,0.015583
54.65,18835,16402,1417.8,1015.2,1067.3,400,0.29946,0.25013,0.034073,0.015258
54.7,18772,16357,1421.6,993.6,1070.4,400,0.29854,0.24945,0.034164,0.014934
54.75,18709,16312,1425.4,972,1073.5,400,0.29762,0.24876,0.034255,0.014609
54.8,18647,16267,1429.2,950.4,1076.7,400,0.2967,0.24807,0.034347,0.014285
54.85,18583,16222,1433.1,928.8,1079.8,400,0.29578,0.24738,0.034441,0.01396
54.9,18520,16176,1437,907.2,1083,400,0.29485,0.24668,0.034535,0.013635
54.95,18457,16130,1441,885.6,1086.1,400,0.29393,0.24599,0.034629,0.013311
55,18394,16085,1445,864,1089.3,400,0.293,0.24529,0.034725,0.012986
55.05,18330,16039,1449,842.4,1092.5,400,0.29207,0.24459,0.034822,0.012661
55.1,18267,15993,1453,820.8,1095.8,400,0.29115,0.24389,0.034919,0.012337
55.15,18203,15947,1457.1,799.2,1099,400,0.29022,0.24319,0.035017,0.012012
55.2,18139,15900,1461.3,777.6,1102.3,400,0.28928,0.24248,0.035117,0.011687
55.25,18075,15854,1465.4,756,1105.6,400,0.28835,0.24177,0.035217,0.011363
55.3,18011,15807,1469.6,734.4,1108.9,400,0.28742,0.24106,0.035318,0.011038
55.35,17947,15760,1473.9,712.8,1112.2,400,0.28648,0.24035,0.03542,0.010713
55.4,17883,15713,1478.2,691.2,1115.6,400,0.28554,0.23963,0.035523,0.010389
55.45,17818,15666,1482.5,669.6,1118.9,400,0.2846,0.23891,0.035627,0.010064
55.5,17754,15619,1486.9,648,1122.3,400,0.28366,0.23819,0.035732,0.0097394
55.55,17689,15572,1491.3,626.4,1125.7,400,0.28272,0.23747,0.035838,0.0094148
55.6,17625,15524,1495.7,604.8,1129.2,400,0.28178,0.23674,0.035945,0.0090901
55.65,17560,15477,1500.2,583.2,1132.6,400,0.28084,0.23602,0.036053,0.0087655
55.7,17495,15429,1504.8,561.6,1136.1,400,0.27989,0.23529,0.036162,0.0084408
55.75,17430,15381,1509.3,540,1139.6,400,0.27894,0.23455,0.036272,0.0081162
55.8,17365,15332,1514,518.4,1143.1,400,0.27799,0.23382,0.036383,0.0077916
55.85,17300,15284,1518.6,496.8,1146.7,400,0.27704,0.23308,0.036495,0.0074669
55.9,17234,15236,1523.3,475.2,1150.2,400,0.27609,0.23234,0.036609,0.0071423
55.95,17169,15187,1528.1,453.6,1153.8,400,0.27514,0.2316,0.036723,0.0068176
56,17103,15138,1532.9,432,1157.4,400,0.27419,0.23085,0.036839,0.006493
56.05,17037,15089,1537.8,410.4,1161,400,0.27323,0.23011,0.036955,0.0061683
