SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
58.4,14751,12851,1900.3,0,1361.7,441.18,0.065266,0.019597,0.045669,0
58.5,14672,12750,1922.7,0,1371.7,444.44,0.065649,0.019443,0.046206,0
58.6,14593,12647,1945.6,0,1382,447.76,0.066043,0.019287,0.046756,0
58.7,14512,12543,1969.1,0,1392.4,451.13,0.06645,0.019128,0.047322,0
58.8,14431,12438,1993.3,0,1402.9,454.55,0.066869,0.018967,0.047902,0
58.9,14348,12330,2018.1,0,1413.6,458.02,0.067302,0.018804,0.048498,0
59,14265,12222,2043.6,0,1424.5,461.54,0.067748,0.018638,0.04911,0
59.1,14181,12111,2069.7,0,1435.5,465.12,0.068208,0.018469,0.049739,0
59.2,14095,11999,2096.6,0,1446.8,468.75,0.068683,0.018298,0.050385,0
59.3,14009,11885,2124.2,0,1458.2,472.44,0.069174,0.018124,0.051049,0
59.4,13922,11769,2152.6,0,1469.7,476.19,0.06968,0.017948,0.051732,0
59.5,13833,11651,2181.9,0,1481.5,480,0.070202,0.017768,0.052434,0
59.6,13743,11532,2211.9,0,1493.4,483.87,0.070741,0.017586,0.053156,0
59.7,13653,11410,2242.8,0,1505.6,487.8,0.071299,0.0174,0.053898,0
59.8,13561,11287,2274.6,0,1517.9,491.8,0.071874,0.017212,0.054662,0
59.9,13468,11161,2307.3,0,1530.5,495.87,0.072469,0.017021,0.055448,0
60,13374,11033,2341,0,1543.2,500,0.073083,0.016826,0.056257,0
60.1,13279,10904,2375.6,0,1556.2,504.2,0.073718,0.016628,0.05709,0
60.2,13183,10772,2411.3,0,1569.4,508.47,0.074375,0.016427,0.057949,0
60.3,13085,10637,2448.1,0,1582.8,512.82,0.075054,0.016222,0.058832,0
60.4,12987,10501,2486,0,1596.4,517.24,0.075757,0.016014,0.059743,0
60.5,12887,10362,2525.1,0,1610.3,521.74,0.076483,0.015802,0.060682,0
60.6,12786,10220,2565.3,0,1624.4,526.32,0.077235,0.015586,0.061649,0
60.7,12683,10076,2606.8,0,1638.8,530.97,0.078014,0.015367,0.062647,0
60.8,12580,9930,2649.7,0,1653.4,535.71,0.078819,0.015143,0.063676,0
60.9,12475,9780.9,2693.8,0,1668.3,540.54,0.079654,0.014916,0.064738,0
61,12369,9629.1,2739.4,0,1683.5,545.45,0.080518,0.014684,0.065834,0
