Date	OADryBulbTemperatureNOAA	ZoneLoadforContainerFPVAV29	
42467.9166666667	63.914	3888	
42473.9166666667	63.914	1944	
42482.125	63.914	3888	
42465.40625	64.004	8424	
42473.8333333333	64.04	3888	
42473.875	64.04	3888	
42473.8854166667	64.04	3240	
42473.8958333333	64.04	3888	
42473.90625	64.04	3240	
42479.0729166667	64.04	3240	
42479.0833333333	64.04	1944	
42479.2916666667	64.04	1944	
42479.3020833333	64.04	3240	
42482.0729166667	64.04	5184	
42482.0833333333	64.04	3888	
42482.09375	64.04	3240	
42482.1041666667	64.04	3240	
42482.1145833333	64.04	3240	
42487.2916666667	64.04	3240	
42487.3020833333	64.04	1944	
42487.3125	64.04	1944	
42487.3229166667	64.04	1944	
42473.84375	64.0676923076923	3240	
42470.34375	64.082	2592	
42480.3125	64.13	3888	
42461.4583333333	64.145	3240	
42480.4583333333	64.145	6480	
42469.9895833333	64.16	1944	
42484.0729166667	64.16	1944	
42476.2708333333	64.1774193548387	4536	
42479.3125	64.2025806451613	3888	
42473.8541666667	64.2061538461539	3888	
42461.5104166667	64.214	3240	
42488.1666666667	64.271	3240	
42479.09375	64.2823076923077	3240	
42462.4895833333	64.292	2592	
42482.9895833333	64.304	3240	
42472.9895833333	64.3066666666667	3888	
42473.8645833333	64.3446153846154	3888	
42461.46875	64.37	3240	
42480.46875	64.37	6480	
42487.3333333333	64.376	1944	
42479.3229166667	64.3767741935484	3888	
42469.9791666667	64.385	1944	
42463.4479166667	64.412	3888	
42469.3854166667	64.412	3240	
42475.4895833333	64.412	6480	
42481.4270833333	64.412	6480	
42484.34375	64.412	3888	
42475.9895833333	64.424	3888	
42479.28125	64.43375	3240	
42481.3229166667	64.4925714285714	3240	
42468.375	64.502	7128	
42473.4270833333	64.5157142857143	6480	
42479.1041666667	64.5419230769231	3240	
42473.8229166667	64.55	1944	
42474.4791666667	64.5526086956522	6480	
42479.2395833333	64.5675862068966	5832	
42465.9270833333	64.568	3888	
42463.8645833333	64.568	1296	
42466.4375	64.5846153846154	6480	
42461.4791666667	64.595	3240	
42480.4791666667	64.595	7776	
42479.2708333333	64.6025	3888	
42468.9583333333	64.604	3240	
42469.96875	64.61	648	
42479.0625	64.6111538461539	3240	
42479.15625	64.67	3888	
42476.28125	64.6709677419355	5184	
42461.5	64.709	1944	
42467.90625	64.712	3888	
42488.15625	64.76	1944	
42488.1770833333	64.766	3240	
42479.2604166667	64.77125	4536	
42482.9791666667	64.799	3888	
42479.1145833333	64.8015384615385	3240	
42472.9791666667	64.8066666666667	3888	
42464.4270833333	64.808	7776	
42461.4895833333	64.82	1944	
42480.4895833333	64.82	6480	
42469.9583333333	64.835	648	
42470.3541666667	64.847	2592	
42462.8125	64.892	0	
42464.8854166667	64.898	3888	
42472.3333333333	64.94	3888	
42472.34375	64.94	5832	
42472.3541666667	64.94	7776	
42472.3645833333	64.94	9072	
42472.375	64.94	8424	
42472.3854166667	64.94	8424	
42472.3958333333	64.94	8424	
42472.40625	64.94	7776	
42472.4166666667	64.94	7776	
