Date	ZoneLoadforContainerFPVAV14	ZoneLoadResidualforContainerFPVAV14	
42515.8020833333	nan	nan	
42515.8125	nan	nan	
42515.8229166667	nan	nan	
42515.8333333333	nan	nan	
42515.84375	nan	nan	
42515.8541666667	nan	nan	
42515.8645833333	nan	nan	
42515.875	nan	nan	
42515.8854166667	nan	nan	
42515.8958333333	nan	nan	
42515.90625	nan	nan	
42515.9166666667	nan	nan	
42515.9270833333	nan	nan	
42515.9375	nan	nan	
42515.9479166667	nan	nan	
42515.9583333333	nan	nan	
42515.96875	nan	nan	
42515.9791666667	nan	nan	
42515.9895833333	nan	nan	
42516	nan	nan	
42516.0104166667	nan	nan	
42516.0208333333	nan	nan	
42516.03125	nan	nan	
42516.0416666667	nan	nan	
42516.0520833333	nan	nan	
42516.0625	nan	nan	
42516.0729166667	nan	nan	
42516.0833333333	nan	nan	
42516.09375	nan	nan	
42516.1041666667	nan	nan	
42516.1145833333	nan	nan	
42516.125	nan	nan	
42516.1354166667	nan	nan	
42516.1458333333	nan	nan	
42516.15625	nan	nan	
42516.1666666667	nan	nan	
42516.1770833333	nan	nan	
42516.1875	nan	nan	
42516.1979166667	nan	nan	
42516.2083333333	nan	nan	
42516.21875	nan	nan	
42516.2291666667	nan	nan	
42516.2395833333	nan	nan	
42516.25	nan	nan	
42516.2604166667	nan	nan	
42516.2708333333	nan	nan	
42516.28125	nan	nan	
42516.2916666667	nan	nan	
42516.3020833333	nan	nan	
42516.3125	nan	nan	
42516.3229166667	nan	nan	
42516.3333333333	nan	nan	
42516.34375	nan	nan	
42516.3541666667	nan	nan	
42516.3645833333	nan	nan	
42516.375	3402	3024	
42516.3854166667	3402	3402	
42516.3958333333	3402	7560	
42516.40625	2646	10017	
42516.4166666667	2646	8316	
42516.4270833333	3402	3780	
42516.4375	3402	3780	
42516.4479166667	3402	9261	
42516.4583333333	3402	9450	
42516.46875	3402	9450	
42516.4791666667	3402	-189	
42516.4895833333	3402	-1512	
42516.5	3402	-1512	
42516.5104166667	3402	-1512	
42516.5208333333	3402	-1701	
42516.53125	3402	-1512	
42516.5416666667	3780	-1890	
42516.5520833333	3024	-1134	
42516.5625	3024	-1134	
42516.5729166667	3780	-1512	
42516.5833333333	2646	-378	
42516.59375	2268	0	
42516.6041666667	3402	-1134	
42516.6145833333	4158	2268	
42516.625	3780	3969	
42516.6354166667	3402	4536	
42516.6458333333	3402	8505	
42516.65625	3402	7560	
42516.6666666667	2646	5292	
42516.6770833333	2646	6993	
42516.6875	3024	8505	
42516.6979166667	2268	10962	
42516.7083333333	nan	nan	
42516.71875	nan	nan	
42516.7291666667	nan	nan	
42516.7395833333	nan	nan	
42516.75	nan	nan	
42516.7604166667	nan	nan	
42516.7708333333	nan	nan	
42516.78125	nan	nan	
42516.7916666667	nan	nan	
42516.8020833333	nan	nan	
42516.8125	nan	nan	
42516.8229166667	nan	nan	
42516.8333333333	nan	nan	
42516.84375	nan	nan	
42516.8541666667	nan	nan	
42516.8645833333	nan	nan	
42516.875	nan	nan	
42516.8854166667	nan	nan	
42516.8958333333	nan	nan	
42516.90625	nan	nan	
42516.9166666667	nan	nan	
42516.9270833333	nan	nan	
42516.9375	nan	nan	
42516.9479166667	nan	nan	
42516.9583333333	nan	nan	
42516.96875	nan	nan	
42516.9791666667	nan	nan	
42516.9895833333	nan	nan	
42517	nan	nan	
42517.0104166667	nan	nan	
42517.0208333333	nan	nan	
42517.03125	nan	nan	
42517.0416666667	nan	nan	
42517.0520833333	nan	nan	
42517.0625	nan	nan	
42517.0729166667	nan	nan	
42517.0833333333	nan	nan	
42517.09375	nan	nan	
42517.1041666667	nan	nan	
42517.1145833333	nan	nan	
42517.125	nan	nan	
42517.1354166667	nan	nan	
42517.1458333333	nan	nan	
42517.15625	nan	nan	
42517.1666666667	nan	nan	
42517.1770833333	nan	nan	
42517.1875	nan	nan	
42517.1979166667	nan	nan	
42517.2083333333	nan	nan	
42517.21875	nan	nan	
42517.2291666667	nan	nan	
42517.2395833333	nan	nan	
42517.25	nan	nan	
42517.2604166667	nan	nan	
42517.2708333333	nan	nan	
42517.28125	nan	nan	
42517.2916666667	nan	nan	
42517.3020833333	nan	nan	
42517.3125	nan	nan	
42517.3229166667	nan	nan	
42517.3333333333	nan	nan	
42517.34375	nan	nan	
42517.3541666667	nan	nan	
42517.3645833333	nan	nan	
42517.375	4158	1323	
42517.3854166667	3780	1512	
42517.3958333333	3780	1512	
42517.40625	3024	2646	
42517.4166666667	3402	2268	
42517.4270833333	3402	2079	
42517.4375	3402	1890	
42517.4479166667	3402	756	
42517.4583333333	3402	-189	
42517.46875	3402	-378	
42517.4791666667	3024	-756	
42517.4895833333	3024	-756	
42517.5	3402	-1134	
42517.5104166667	2646	0	
42517.5208333333	2646	-378	
42517.53125	2646	-567	
42517.5416666667	2646	0	
42517.5520833333	3402	-756	
42517.5625	3402	-378	
42517.5729166667	3402	-756	
42517.5833333333	3024	-378	
42517.59375	3024	-378	
42517.6041666667	3024	-378	
42517.6145833333	2268	-756	
42517.625	2268	-945	
42517.6354166667	2646	-1512	
42517.6458333333	2646	-1512	
42517.65625	1890	-756	
42517.6666666667	1890	-945	
42517.6770833333	1890	5292	
42517.6875	1890	4914	
42517.6979166667	1890	4158	
42517.7083333333	nan	nan	
42517.71875	nan	nan	
42517.7291666667	nan	nan	
42517.7395833333	nan	nan	
42517.75	nan	nan	
42517.7604166667	nan	nan	
42517.7708333333	nan	nan	
42517.78125	nan	nan	
42517.7916666667	nan	nan	
42517.8020833333	nan	nan	
42517.8125	nan	nan	
42517.8229166667	nan	nan	
42517.8333333333	nan	nan	
42517.84375	nan	nan	
42517.8541666667	nan	nan	
42517.8645833333	nan	nan	
42517.875	nan	nan	
42517.8854166667	nan	nan	
42517.8958333333	nan	nan	
42517.90625	nan	nan	
42517.9166666667	nan	nan	
42517.9270833333	nan	nan	
42517.9375	nan	nan	
42517.9479166667	nan	nan	
42517.9583333333	nan	nan	
42517.96875	nan	nan	
42517.9791666667	nan	nan	
42517.9895833333	nan	nan	
42518	nan	nan	
42518.0104166667	nan	nan	
42518.0208333333	nan	nan	
42518.03125	nan	nan	
42518.0416666667	nan	nan	
42518.0520833333	nan	nan	
42518.0625	nan	nan	
42518.0729166667	nan	nan	
42518.0833333333	nan	nan	
42518.09375	nan	nan	
42518.1041666667	nan	nan	
42518.1145833333	nan	nan	
42518.125	nan	nan	
42518.1354166667	nan	nan	
42518.1458333333	nan	nan	
42518.15625	nan	nan	
42518.1666666667	nan	nan	
42518.1770833333	nan	nan	
42518.1875	nan	nan	
42518.1979166667	nan	nan	
42518.2083333333	nan	nan	
42518.21875	nan	nan	
42518.2291666667	nan	nan	
42518.2395833333	nan	nan	
42518.25	nan	nan	
42518.2604166667	nan	nan	
42518.2708333333	nan	nan	
42518.28125	nan	nan	
42518.2916666667	nan	nan	
42518.3020833333	nan	nan	
42518.3125	nan	nan	
42518.3229166667	nan	nan	
42518.3333333333	nan	nan	
42518.34375	nan	nan	
42518.3541666667	nan	nan	
42518.3645833333	nan	nan	
42518.375	nan	nan	
42518.3854166667	nan	nan	
42518.3958333333	nan	nan	
42518.40625	nan	nan	
42518.4166666667	nan	nan	
42518.4270833333	nan	nan	
42518.4375	nan	nan	
42518.4479166667	nan	nan	
42518.4583333333	nan	nan	
42518.46875	nan	nan	
42518.4791666667	nan	nan	
42518.4895833333	nan	nan	
42518.5	nan	nan	
42518.5104166667	nan	nan	
42518.5208333333	nan	nan	
42518.53125	nan	nan	
42518.5416666667	nan	nan	
42518.5520833333	nan	nan	
42518.5625	nan	nan	
42518.5729166667	nan	nan	
42518.5833333333	nan	nan	
42518.59375	nan	nan	
42518.6041666667	nan	nan	
42518.6145833333	nan	nan	
42518.625	nan	nan	
