Date	OADryBulbTemperature(NOAA)	AHU13MixedAirTemp	
42478.4895833333	67.8148571428572	67.52	
42505.8020833333	67.8527272727273	71.42	
42495.34375	67.868	68.72	
42505.0833333333	67.874	71.44	
42478.2604166667	67.928	66.87	
42482.9270833333	67.958	67.76	
42478.1458333333	68	69.99	
42478.2083333333	68	69.98	
42478.2291666667	68	69.97	
42478.2395833333	68	69.96	
42478.25	68	69.95	
42478.5	68	65.64	
42478.96875	68	69.42	
42478.9791666667	68	69.44	
42481.5625	68	67.06	
42484.875	68	71.05	
42484.8854166667	68	71.06	
42484.8958333333	68	71.07	
42484.90625	68	71.07	
42484.9166666667	68	71.09	
42484.9270833333	68	71.11	
42484.9375	68	71.11	
42484.9479166667	68	71.12	
42485.0520833333	68	71.19	
42485.0625	68	71.19	
42485.0729166667	68	71.19	
42485.0833333333	68	71.2	
42485.09375	68	71.19	
42485.1041666667	68	71.19	
42485.1145833333	68	71.19	
42485.1770833333	68	71.17	
42485.1875	68	71.17	
42485.1979166667	68	71.17	
42485.2083333333	68	71.16	
42485.21875	68	71.16	
42485.2291666667	68	71.15	
42485.2395833333	68	71.15	
42488.2916666667	68	66.19	
42488.3020833333	68	69.26	
42488.3125	68	68.74	
42488.3229166667	68	68.97	
42490.2916666667	68	70.81	
42490.3020833333	68	70.77	
42491.25	68	69.99	
42491.2604166667	68	70.07	
42491.2708333333	68	70.16	
42491.28125	68	70.23	
42492.0520833333	68	71.49	
42492.0625	68	71.49	
42492.0729166667	68	71.49	
42496.3645833333	68	68.63	
42499.2083333333	68	71.67	
42499.21875	68	71.68	
42499.2291666667	68	71.67	
42499.2395833333	68	71.64	
42499.25	68	71.64	
42499.2604166667	68	67.72	
42499.2708333333	68	67.22	
42499.28125	68	67.11	
42505.0520833333	68	71.43	
42505.0625	68	71.44	
42505.0729166667	68	71.44	
42484.3854166667	68.042	70.36	
42487.3854166667	68.042	64.22	
42501.3020833333	68.042	67.86	
42495.9791666667	68.093	68.59	
42485.25	68.126	71.17	
42491.2916666667	68.126	70.31	
42478.5208333333	68.144	67.19	
42481.9479166667	68.144	68.05	
42491.2395833333	68.144	69.89	
42505.3854166667	68.1448780487805	71.35	
42488.3333333333	68.231	69.36	
42499.2916666667	68.231	66.24	
42476.3541666667	68.252	69.62	
42498.3541666667	68.252	70.81	
42480.9479166667	68.264	69.04	
42483.3645833333	68.264	70	
42484.8645833333	68.264	71.04	
42499.1979166667	68.264	71.69	
42483.9270833333	68.288	76.61	
42488.0520833333	68.288	68.92	
42498.0520833333	68.288	70.24	
42478.1979166667	68.375652173913	69.96	
42485.2604166667	68.396	67.37	
42491.3020833333	68.396	70.39	
42497.3645833333	68.408	70.61	
42481.9375	68.414	67.91	
42491.2291666667	68.414	69.81	
42494.4270833333	68.438	67.72	
42480.5625	68.462	63.14	
42494.9375	68.507	68.12	
42501.0625	68.507	70.81	
42478.0520833333	68.5082352941176	70.04	
42487.9895833333	68.528	68.18	
42496.96875	68.528	67.94	
42478.15625	68.54	69.98	
42485.2708333333	68.666	66.94	
42491.3125	68.666	70.45	
42478.9583333333	68.6821052631579	69.39	
42481.9270833333	68.684	67.76	
42491.21875	68.684	69.69	
42479.4166666667	68.693	66.39	
42490.3125	68.7071428571429	70.75	
42482.9166666667	68.723	67.78	
42488.34375	68.726	69.52	
42499.3020833333	68.726	72.54	
42480.9375	68.759	68.99	
42484.8541666667	68.759	71.04	
42499.1875	68.759	71.69	
42482.3854166667	68.768	66.82	
42476.3645833333	68.792	69.62	
42498.3645833333	68.792	70.86	
42484.3958333333	68.807	70.37	
42487.3958333333	68.807	61.69	
42501.3125	68.807	64.54	
42483.9166666667	68.828	76.68	
42498.0416666667	68.828	71.01	
42495.96875	68.858	68.47	
42505.3958333333	68.8692682926829	71.36	
42485.28125	68.936	66.69	
42491.3229166667	68.936	70.51	
42481.9166666667	68.954	67.6	
42491.2083333333	68.954	69.59	
42478.5104166667	68.9818181818182	63.37	
42505.7916666667	69.0125	71.42	
42477.0833333333	69.08	70.17	
42477.09375	69.08	70.17	
42477.1041666667	69.08	70.16	
42477.1145833333	69.08	70.16	
42477.125	69.08	70.14	
42477.1354166667	69.08	70.14	
42477.1458333333	69.08	70.14	
42477.15625	69.08	70.14	
42477.1666666667	69.08	70.14	
42477.1770833333	69.08	70.12	
42477.1875	69.08	70.12	
42477.1979166667	69.08	70.11	
42477.2083333333	69.08	70.11	
42477.21875	69.08	70.11	
42477.2291666667	69.08	70.1	
42477.2395833333	69.08	70.11	
42478.1666666667	69.08	69.99	
42478.1770833333	69.08	69.97	
42478.1875	69.08	69.98	
42478.5416666667	69.08	62.47	
