Date	OADryBulbTemperatureNOAA	VariableTotalPower	FanplusCoolingEnergyAHUActualExponent2forAHU23
42670.46875	77.438	25338.0223721762	31494.5628833333
42670.4791666667	78.473	27605.3000752356	32450.22
42670.4895833333	79.508	29788.9820736602	32515.45635
42670.5	80.291	27655.9195768832	32149.3973333333
42670.5104166667	80.786	27543.6042105523	31856.8323333333
42670.5208333333	81.281	26797.5042902628	29787.9939333333
42670.53125	81.776	27939.2573511051	29344.1592
42670.5416666667	82.271	27971.3168058232	32474.1709333333
42670.5520833333	82.766	26886.2124044583	37634.3540833333
42670.5625	83.261	27819.3138263154	41195.6776833333
42670.5729166667	83.756	29023.819079921	40652.2892833333
42670.5833333333	84.02	30795.0189044503	41338.7829333334
42670.59375	84.02	31035.2165472434	42795.7363333334
42670.6041666667	84.02	29935.6946295583	55852.03515
42670.6145833333	84.02	30284.3839691811	59394.4572833333
42670.625	84.125	32155.770316416	56681.7523333334
42670.6354166667	84.35	33062.6850109153	51677.4925333334
42670.6458333333	84.575	30366.7314314064	42796.4696833333
42670.65625	84.8	29943.7906723206	35960.0083333333
42670.6666666667	84.815	29968.15307136	39457.5843333333
42670.6770833333	84.59	31538.6013430238	41665.5384833334
42670.6875	84.365	31637.8324151926	40621.5619333333
42670.6979166667	84.14	29639.2397517743	37987.2696
42671.40625	70.388	22385.0081280234	26627.5347333333
42671.4166666667	71.753	24923.8457525805	30574.5875333333
42671.4270833333	73.238	24576.4286545188	34437.7141333333
42671.4375	74.723	28817.649341599	38984.5045333334
42671.4479166667	76.208	31181.4272930563	39960.1160833333
42671.4583333333	77.462	31481.1990828598	43884.53355
42671.46875	78.452	31535.9083147607	45525.8957333333
42671.4791666667	79.442	33992.7692019044	44527.5816833333
42671.4895833333	80.432	38561.0472756084	43616.0568
42671.5	81.191	39267.2333308729	54783.9413333333
42671.5104166667	81.686	34316.8519192473	58231.2035333333
42671.5208333333	82.181	30809.2813292139	61959.1544833333
42671.53125	82.676	30168.4834155193	57237.0189333333
42671.5416666667	82.94	34056.1308029556	43449.0488833333
42671.5520833333	82.94	33466.3322290424	35710.8557333334
42671.5625	82.94	31668.6889479035	42570.1736833333
42671.5729166667	82.94	29834.8907975184	47235.60075
42671.5833333333	83.066	33030.8681245132	53182.92675
42671.59375	83.336	38123.9747102038	55632.0620833333
42671.6041666667	83.606	41079.3148484095	55294.2948833333
42671.6145833333	83.876	47931.8628043748	48771.5548833333
42671.625	84.125	47957.5077717971	39475.90755
42671.6354166667	84.35	48756.8236199202	36042.1173333333
42671.6458333333	84.575	47300.5300508846	42706.06275
42671.65625	84.8	48677.2849904387	44694.1884833333
42671.6666666667	84.92	47823.8525421287	46262.9694
42671.6770833333	84.92	46638.256911678	46195.4509333333
42671.6875	84.92	43774.5139986309	46728.3168
42671.6979166667	84.92	43348.2389189505	47739.2213333333
42674.375	61.1861818181818	21831.3438530879	27334.8248833333
42674.3854166667	61.628	20794.5739356459	24032.9192833333
42674.3958333333	62.0698181818182	21622.1389275596	23612.1037333333
42674.40625	62.5116363636364	21798.8946073544	25884.5523333333
42674.4166666667	62.445	22504.5575404588	26402.5491333333
42674.4270833333	63.27	22473.1136648356	26654.99475
42674.4375	64.04	20758.6146241736	26467.07475
42674.4479166667	64.5164705882353	20207.6574437346	26632.8131333333
42674.4583333333	64.94	19334.0268277861	28430.22
42674.46875	65.0075	21625.6180274248	30393.3660833333
42674.4791666667	66.02	20411.1097717648	31072.3859333333
42674.4895833333	67.3113043478261	20038.026385924	32617.4291333333
42674.5	68.6026086956522	20304.0352162577	30887.4739333333
42674.5104166667	69.8939130434783	20870.5772574249	29907.2232833333
42674.5208333333	71.828	21048.136865068	33815.9160833333
42674.53125	73.808	20699.0564033111	35456.7486
42674.5416666667	75.02	20824.6360581217	33103.1464833333
42674.5520833333	75.425	22559.0681970983	34614.9581333333
42674.5625	76.3733333333333	22722.0913170658	40968.5491333334
42674.5729166667	78.0733333333333	34234.2004018069	43411.3461333333
42674.5833333333	79.337	33476.6886612218	46136.0053333333
42674.59375	80.102	34735.5105512108	57410.1624
42674.6041666667	80.867	37142.4387831138	56012.11275
42674.6145833333	81.632	36661.516976057	53409.7326
42674.625	82.271	39683.3906816889	45766.443
42674.6354166667	82.766	45257.3330781156	40484.2037333334
42674.6458333333	83.261	43735.3272583662	38166.4348833333
42674.65625	83.756	46693.7971707075	36330.2925333333
42674.6666666667	83.894	44730.6476919533	40296.6400833333
42674.6770833333	83.624	42912.9539569028	43847.0382
42674.6875	83.354	43950.3053906485	46972.4813333334
42674.6979166667	83.084	43312.2237665971	49351.7043333333
42675.375	73.04	18955.6185209481	27542.784
42675.3854166667	73.49	20661.2664621725	28850.9972833333
42675.3958333333	74.0646153846154	31273.9957868978	29795.9757333333
42675.40625	74.6876923076923	29375.7388304808	30804.1603333333
42675.4166666667	75.482	27699.2327826383	30571.3123333333
42675.4270833333	76.472	26309.2452717863	29253.3816
42675.4375	77.462	27369.9290862524	34186.1980833333
42675.4479166667	78.452	29624.3752140297	34167.0083333333
42675.4583333333	79.106	31254.1185421487	35452.4403333333
42675.46875	79.376	29003.9297616578	36179.7968833333
42675.4791666667	79.646	29314.0801399551	36121.1172833333
42675.4895833333	79.916	32450.096602612	36516.8568
42675.5	80.92625	36172.5052117071	36724.6483333333
42675.5104166667	82.04	34722.3868204524	36297.85635
42675.5208333333	82.04	32786.6643141567	40433.1349333333
42675.53125	82.04	32968.6947904344	40245.1232833333
