Date	ZoneLoadforContainerFPVAV19	PlenumTemperatureforContainerFPVAV19	
42417.375	21060	699.849999999999	
42417.3854166667	18468	-84.4599999999999	
42417.40625	16524	865.309999999998	
42417.4166666667	20412	-244	
42417.4270833333	20736	-123.29	
42417.4375	20736	-121.27	
42417.4479166667	23004	426.26	
42417.4583333333	19440	268.87	
42417.46875	19440	691.880000000001	
42417.4791666667	19440	-489.82	
42417.4895833333	20736	-478.779999999999	
42417.5	22032	-199.190000000001	
42417.53125	21060	-60.54	
42417.5416666667	20736	603.67	
42417.5520833333	21060	338.11	
42417.5625	20412	-120.76	
42417.5729166667	20736	230.74	
42417.5833333333	16524	-472.77	
42417.59375	15228	706.84	
42417.6041666667	15228	-305.93	
42417.6145833333	17172	234.14	
42417.625	17172	-296.860000000001	
42417.6354166667	18468	-426.110000000001	
42417.6458333333	19116	-156.12	
42417.65625	18792	-444.670000000002	
42417.6770833333	18144	-158.940000000001	
42417.6875	18144	219.87	
42417.6979166667	18144	608.66	
42418.375	21060	-557.540000000001	
42418.3854166667	18468	-630.790000000001	
42418.3958333333	16524	404.190000000001	
42418.40625	20412	-511.889999999999	
42418.4270833333	19764	-433.630000000001	
42418.4375	20088	242.13	
42418.4583333333	20088	-108.640000000001	
42418.4791666667	20736	-425.100000000002	
42418.5	20412	94.9766666666666	
42418.5104166667	15228	-244.02	
42418.5208333333	18468	536.900000000001	
42418.53125	21060	170.35	
42418.5416666667	21060	154.92	
42418.5729166667	20736	290.14	
42418.5833333333	20736	-283.25	
42418.6145833333	18468	334.71	
42418.625	20412	-261.610000000001	
42418.6354166667	20412	-62.5599999999999	
42418.6458333333	21060	-152.5	
42418.65625	16848	-432.76	
42418.6770833333	11340	683.84	
42418.6875	16524	-285.420000000001	
42418.6979166667	19440	-854.029999999999	
42419.375	18792	802.510000000002	
42419.3854166667	20088	619.119999999999	
42419.40625	18792	404.5	
42419.4166666667	18468	-256.62	
42419.4270833333	17172	1174.77	
42419.4375	19116	-787.810000000001	
42419.4479166667	20088	711.809999999998	
42419.4583333333	21060	-633.289999999999	
42419.46875	20088	420.559999999999	
42419.4791666667	18468	326.29	
42419.5	18792	451.360000000001	
42419.5104166667	18144	352.53	
42419.5416666667	17820	547.219999999999	
42419.5520833333	14580	1311.32	
42419.5625	13284	662.969999999999	
42419.5729166667	18468	230.19	
42419.59375	20412	438.440000000001	
42419.6041666667	14904	649.550000000001	
42419.6145833333	11340	1400.53	
42419.625	15552	1125.44	
42419.6354166667	19440	-727.610000000001	
42419.6458333333	20412	-632.290000000001	
42419.65625	21060	-298.35	
42419.6666666667	19116	-826.939999999999	
42419.6770833333	11016	-413.73	
42419.6875	14580	991.389999999999	
42419.6979166667	18468	-736.139999999999	
42422.375	18144	-998.009999999998	
42422.3854166667	18144	1078.09	
42422.40625	18144	309.36	
42422.4166666667	17496	250.25	
42422.4270833333	18468	211.37	
42422.4375	18468	1056.66	
42422.4479166667	18468	382.72	
42422.4583333333	18468	257.42	
42422.4791666667	18144	132.16	
42422.4895833333	17496	190.63	
42422.5	17820	185.885	
42422.5104166667	17820	-252.579999999999	
42422.5208333333	17496	142.31	
42422.53125	17820	553.18	
42422.5416666667	18468	-926.27	
42422.5520833333	18468	199.895714285714	
42422.5729166667	18144	172.27	
42422.5833333333	17496	257.33	
42422.59375	17820	967.459999999999	
42422.6041666667	18144	366.88	
42422.625	17820	1009.32	
42422.6354166667	18468	288.88	
42422.6458333333	15876	-503.23	
42422.65625	17820	-179.859999999999	
42422.6770833333	19764	490.589999999999	
42422.6875	14904	340.22	
42422.6979166667	14256	599.389999999999	
42423.375	21384	105.31	
42423.3854166667	19440	158.712857142857	
42423.3958333333	17496	199.14	
42423.40625	16200	202.58	
42423.4166666667	16848	161.66	
42423.4270833333	17496	182.235	
42423.4375	18144	152.736666666667	
42423.4479166667	18144	133.84	
42423.4583333333	19440	99.7774999999999	
42423.46875	18144	157.586666666667	
42423.4791666667	16200	157.42	
42423.4895833333	16200	168.83	
42423.5	16200	150.94	
42423.5104166667	17496	148.98	
42423.5208333333	18144	135.04	
42423.53125	17496	119.87	
42423.5416666667	18144	139.84	
42423.5520833333	15552	134.399230769231	
42423.5625	14256	141.64	
42423.5729166667	13932	169.91	
42423.5833333333	11988	-409.630000000001	
42423.59375	15552	750.690000000002	
42423.6041666667	16200	123.34	
42423.6145833333	12312	130.4	
42423.625	10368	141.72	
42423.6354166667	10044	235.01	
42423.6458333333	17496	162.38	
42423.65625	15552	135.013333333333	
42423.6666666667	17496	141.795714285714	
42423.6770833333	20088	113.05	
42423.6875	19764	109.57	
42423.6979166667	12312	130.42	
42424.375	11340	-700.540000000001	
42424.3854166667	15876	-589.16	
42424.3958333333	12960	405.699999999999	
42424.40625	12636	-692.009999999998	
42424.4166666667	17496	314.919999999999	
42424.4270833333	10368	-271.73	
42424.46875	11340	291.7	
42424.4791666667	15228	323.35	
42424.4895833333	12636	-291.85	
42424.5	18468	638.559999999998	
42424.5104166667	18468	-676.439999999999	
42424.5208333333	19764	307.32	
42424.53125	12636	-632.810000000001	
42424.5416666667	10044	374.92	
42424.5833333333	19116	-75.7600000000002	
42424.59375	20736	-518.41	
42424.6041666667	18468	256.99	
42424.6145833333	11664	191.03	
42424.625	11016	-171.329999999999	
42424.6354166667	10692	809.010000000002	
42424.6458333333	12312	416.129999999999	
42424.65625	12312	-611.240000000002	
42424.6666666667	10368	312	
42424.6770833333	10368	-189.01	
42424.6875	10368	740.239999999998	
42424.6979166667	10368	-645.860000000001	
42425.375	15228	-183.93	
42425.3854166667	15876	337.21	
42425.3958333333	13284	-797.860000000001	
