Date	AHU21MixedAirTemp	MixedAirTempPredictionforContainerAHU21	
42468.4895833333	71.05	70.925	
42468.5	71.09	70.93	
42468.5104166667	71.16	70.95	
42468.5208333333	71.21	70.96	
42468.53125	71.29	70.965	
42468.5416666667	71.24	70.965	
42468.5520833333	71.23	71.055	
42468.5625	71.42	71.065	
42468.5729166667	71.52	71.125	
42468.5833333333	71.48	71.19	
42468.59375	71.64	71.34	
42468.6041666667	71.47	71.445	
42468.6145833333	71.51	71.51	
42468.625	71.51	71.51	
42468.6354166667	71.5	71.53	
42468.6458333333	71.49	71.51	
42468.65625	71.54	71.52	
42468.6666666667	71.52	71.575	
42468.6770833333	71.56	71.59	
42468.6875	71.54	71.59	
42468.6979166667	71.53	71.565	
42468.7083333333	71.49	71.525	
42468.71875	71.44	71.52	
42468.7291666667	71.38	71.5	
42468.7395833333	71.31	71.495	
42468.75	nan	nan	
42468.7604166667	nan	nan	
42468.7708333333	nan	nan	
42468.78125	nan	nan	
42468.7916666667	nan	nan	
42468.8020833333	nan	nan	
42468.8125	nan	nan	
42468.8229166667	nan	nan	
42468.8333333333	nan	nan	
42468.84375	nan	nan	
42468.8541666667	nan	nan	
42468.8645833333	nan	nan	
42468.875	nan	nan	
42468.8854166667	nan	nan	
42468.8958333333	nan	nan	
42468.90625	nan	nan	
42468.9166666667	nan	nan	
42468.9270833333	nan	nan	
42468.9375	nan	nan	
42468.9479166667	nan	nan	
42468.9583333333	nan	nan	
42468.96875	nan	nan	
42468.9791666667	nan	nan	
42468.9895833333	nan	nan	
42469	nan	nan	
42469.0104166667	nan	nan	
42469.0208333333	nan	nan	
42469.03125	nan	nan	
42469.0416666667	nan	nan	
42469.0520833333	nan	nan	
42469.0625	nan	nan	
42469.0729166667	nan	nan	
42469.0833333333	nan	nan	
42469.09375	nan	nan	
42469.1041666667	nan	nan	
42469.1145833333	nan	nan	
42469.125	nan	nan	
42469.1354166667	nan	nan	
42469.1458333333	nan	nan	
42469.15625	nan	nan	
42469.1666666667	nan	nan	
42469.1770833333	nan	nan	
42469.1875	nan	nan	
42469.1979166667	nan	nan	
42469.2083333333	nan	nan	
42469.21875	nan	nan	
42469.2291666667	nan	nan	
42469.2395833333	nan	nan	
42469.25	nan	nan	
42469.2604166667	nan	nan	
42469.2708333333	nan	nan	
42469.28125	nan	nan	
42469.2916666667	nan	nan	
42469.3020833333	nan	nan	
42469.3125	nan	nan	
42469.3229166667	nan	nan	
42469.3333333333	nan	nan	
42469.34375	nan	nan	
42469.3541666667	nan	nan	
42469.3645833333	nan	nan	
42469.375	nan	nan	
42469.3854166667	nan	nan	
42469.3958333333	nan	nan	
42469.40625	nan	nan	
42469.4166666667	nan	nan	
42469.4270833333	nan	nan	
42469.4375	nan	nan	
42469.4479166667	nan	nan	
42469.4583333333	nan	nan	
42469.46875	nan	nan	
42469.4791666667	nan	nan	
42469.4895833333	nan	nan	
42469.5	nan	nan	
42469.5104166667	nan	nan	
42469.5208333333	nan	nan	
42469.53125	nan	nan	
42469.5416666667	nan	nan	
42469.5520833333	nan	nan	
42469.5625	nan	nan	
42469.5729166667	nan	nan	
42469.5833333333	nan	nan	
42469.59375	nan	nan	
42469.6041666667	nan	nan	
42469.6145833333	nan	nan	
42469.625	nan	nan	
42469.6354166667	nan	nan	
42469.6458333333	nan	nan	
42469.65625	nan	nan	
42469.6666666667	nan	nan	
42469.6770833333	nan	nan	
42469.6875	nan	nan	
42469.6979166667	nan	nan	
42469.7083333333	nan	nan	
42469.71875	nan	nan	
42469.7291666667	nan	nan	
42469.7395833333	nan	nan	
42469.75	nan	nan	
42469.7604166667	nan	nan	
42469.7708333333	nan	nan	
42469.78125	nan	nan	
42469.7916666667	nan	nan	
42469.8020833333	nan	nan	
42469.8125	nan	nan	
42469.8229166667	nan	nan	
42469.8333333333	nan	nan	
42469.84375	nan	nan	
42469.8541666667	nan	nan	
42469.8645833333	nan	nan	
42469.875	nan	nan	
42469.8854166667	nan	nan	
42469.8958333333	nan	nan	
42469.90625	nan	nan	
42469.9166666667	nan	nan	
42469.9270833333	nan	nan	
42469.9375	nan	nan	
42469.9479166667	nan	nan	
42469.9583333333	nan	nan	
42469.96875	nan	nan	
42469.9791666667	nan	nan	
42469.9895833333	nan	nan	
42470	nan	nan	
42470.0104166667	nan	nan	
42470.0208333333	nan	nan	
42470.03125	nan	nan	
42470.0416666667	nan	nan	
42470.0520833333	nan	nan	
42470.0625	nan	nan	
42470.0729166667	nan	nan	
42470.0833333333	nan	nan	
42470.09375	nan	nan	
42470.1041666667	nan	nan	
42470.1145833333	nan	nan	
42470.125	nan	nan	
42470.1354166667	nan	nan	
42470.1458333333	nan	nan	
42470.15625	nan	nan	
42470.1666666667	nan	nan	
42470.1770833333	nan	nan	
42470.1875	nan	nan	
42470.1979166667	nan	nan	
42470.2083333333	nan	nan	
42470.21875	nan	nan	
42470.2291666667	nan	nan	
42470.2395833333	nan	nan	
