Date	OADryBulbTemperatureNOAA	ZoneReheatEnergyforContainerFPVAV213	
42431.5833333333	71.165	-664.848000000001	
42431.59375	71.39	-381.715200000007	
42431.6041666667	71.615	-1632.96	
42431.6145833333	71.84	-1610.28	
42431.625	72.086	-1352.59199999999	
42431.6354166667	72.356	-1062.71999999999	
42431.6458333333	72.626	-671.76	
42431.65625	72.896	-777.254399999997	
42431.6666666667	72.914	-1092.96	
42431.6770833333	72.644	-1643.24160000001	
42431.6875	72.374	-1310.03999999999	
42431.6979166667	72.104	-838.079999999996	
42432.375	70.442	-1345.67999999999	
42432.3854166667	71.432	-747.187199999999	
42432.3958333333	72.422	-506.519999999994	
42432.40625	73.412	-560.433599999994	
42432.4166666667	73.94	-563.414399999988	
42432.4270833333	74.8008695652174	-866.678400000003	
42432.4375	76.0064	-741.139200000013	
42432.4479166667	76.6544	-833.846400000003	
42432.4583333333	77.357	-993.081600000006	
42432.46875	78.122	-723.643200000016	
42432.4791666667	78.887	-845.640000000001	
42432.4895833333	79.652	-1031.44320000001	
42432.5	80.291	-936.360000000005	
42432.5104166667	80.786	-732.239999999997	
42432.5208333333	81.281	-647.999999999994	
42432.53125	81.776	-965.520000000006	
42432.5416666667	82.145	-962.280000000006	
42432.5520833333	82.37	-878.040000000003	
42432.5625	82.595	-1015.45919999999	
42432.5729166667	82.82	-1023.83999999999	
42432.5833333333	82.835	-820.713599999993	
42432.59375	82.61	-848.880000000001	
42432.6041666667	82.385	-855.360000000002	
42432.6145833333	82.16	-823.996799999992	
42432.625	82.04	-1037.88	
42432.6354166667	82.04	-941.932800000009	
42432.6458333333	82.04	-910.440000000004	
42432.65625	82.04	-1093.65120000001	
42432.6666666667	81.683	-784.598399999995	
42432.6770833333	80.918	-985.651199999996	
42432.6875	80.153	-1125.61919999999	
42432.6979166667	79.388	-1015.2	
42433.375	59.462	-1118.92320000002	
42433.3854166667	60.452	-305.640000000001	
42433.3958333333	61.442	-1011.13920000001	
42433.40625	62.432	-1114.56	
42433.4166666667	63.422	-865.468800000003	
42433.4270833333	64.412	-525.139199999995	
42433.4375	65.402	-1470.8736	
42433.4479166667	66.392	-1195.56	
42433.4583333333	67.172	-1410.48	
42433.46875	67.712	-1185.84	
42433.4791666667	68.252	-1668.81599999999	
42433.4895833333	68.792	-1288.48320000001	
42433.5	69.311	-1204.0704	
42433.5104166667	69.806	-460.080000000002	
42433.5208333333	70.301	-928.799999999999	
42433.53125	70.796	-792.719999999994	
42433.5416666667	71.165	-1264.68000000001	
42433.5520833333	71.39	-1149.8112	
42433.5625	71.615	-956.577600000007	
42433.5729166667	71.84	-615.599999999993	
42433.5833333333	71.96	-661.564800000002	
42433.59375	71.96	-500.039999999993	
42433.6041666667	71.96	-408.758399999996	
42433.6145833333	71.96	-506.865600000011	
42433.625	72.086	-649.209599999994	
