Date	OADryBulbTemperatureNOAA	AHU13MixedAirTemp	
42480.5	65.066	59.52	
42472.3229166667	65.084	67.17	
42451.46875	65.096	64.9	
42487.34375	65.096	69.36	
42472.4270833333	65.1305882352941	67.71	
42481.5	65.171	63.16	
42492.625	65.171	64.96	
42492.6145833333	65.204	67.58	
42508.3229166667	65.21	67.47	
42508.375	65.2413043478261	67.82	
42510.4166666667	65.2413043478261	60.21	
42481.4895833333	65.2485714285714	67.57	
42444.34375	65.336	68.03	
42447.34375	65.336	67.58	
42454.5520833333	65.336	65.36	
42473.46875	65.336	65.58	
42480.5104166667	65.336	64.62	
42481.3125	65.3411428571429	64.48	
42472.3125	65.354	64.26	
42458.4375	65.402	66.25	
42481.4375	65.402	68.16	
42492.4791666667	65.402	69.44	
42474.4895833333	65.4028571428571	66.12	
42468.3854166667	65.492	68.49	
42444.3541666667	65.606	67.89	
42447.3541666667	65.606	67.47	
42454.5625	65.606	66.17	
42473.4791666667	65.606	66.99	
42480.5208333333	65.606	66.77	
42472.4375	65.6070588235294	67.83	
42457.53125	65.612	64.85	
42472.3020833333	65.624	66.58	
42465.4166666667	65.654	65.96	
42481.5104166667	65.666	60.54	
42492.6354166667	65.666	64.21	
42475.5	65.696	66.73	
42492.6041666667	65.699	69.88	
42508.3125	65.71625	65.65	
42451.4791666667	65.816	65.65	
42487.3541666667	65.816	69.73	
42481.4791666667	65.8271428571429	68.81	
42479.3645833333	65.8563636363636	69.03	
42467.40625	65.864	66.36	
42444.3645833333	65.876	68.04	
42447.3645833333	65.876	67.47	
42454.5729166667	65.876	66.33	
42473.4895833333	65.876	67.9	
42480.53125	65.876	65.24	
42508.3854166667	65.8869565217391	68.16	
42510.4270833333	65.8869565217391	59.84	
42496.3541666667	65.975	67.44	
42452.3541666667	66.02	67.32	
42452.3645833333	66.02	66.97	
42472.4479166667	66.02	68.05	
42472.4583333333	66.02	64.15	
42472.46875	66.02	60.66	
42472.4791666667	66.02	64.15	
42472.4895833333	66.02	66.94	
42478.3333333333	66.02	67.84	
42478.34375	66.02	67.95	
42478.3541666667	66.02	68.01	
42478.3645833333	66.02	68.03	
42478.375	66.02	67.94	
42478.3854166667	66.02	68.3	
42478.3958333333	66.02	68.13	
42478.4166666667	66.02	68.48	
42478.4270833333	66.02	68.34	
42478.4375	66.02	68.04	
42478.4479166667	66.02	68.12	
42479.375	66.02	68.82	
42481.3020833333	66.02	67.05	
42507.3020833333	66.02	70.37	
42507.3125	66.02	69.85	
42508.2916666667	66.02	65.91	
42508.3020833333	66.02	66.74	
42517.4166666667	66.02	66.58	
42517.4270833333	66.02	66.58	
42517.4375	66.02	66.82	
42517.4583333333	66.02	66.97	
42517.46875	66.02	67.2	
42517.4791666667	66.02	66.58	
42517.5	66.02	66.24	
42517.5625	66.02	66.49	
42517.5729166667	66.02	66.47	
42517.5833333333	66.02	66.49	
42492.5104166667	66.0430769230769	64.85	
42464.4375	66.068	66.28	
42517.5104166667	66.0858536585366	66.72	
42517.4895833333	66.092	66.35	
42517.4479166667	66.0971428571429	66.99	
