SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
50.95,43974,40151,1210.2,2613.6,879.74,400,0.68066,0.6123,0.029084,0.039282
51,43951,40147,1212.3,2592,881.83,400,0.68033,0.61224,0.029134,0.038958
51.05,43928,40144,1214.4,2570.4,883.94,400,0.68001,0.61219,0.029184,0.038633
51.1,43906,40140,1216.5,2548.8,886.05,400,0.67968,0.61214,0.029235,0.038308
51.15,43883,40137,1218.7,2527.2,888.18,400,0.67936,0.61209,0.029286,0.037984
51.2,43860,40134,1220.8,2505.6,890.31,400,0.67904,0.61204,0.029338,0.037659
51.25,43838,40131,1223,2484,892.46,400,0.67872,0.612,0.02939,0.037335
51.3,43815,40128,1225.1,2462.4,894.61,400,0.6784,0.61195,0.029442,0.03701
51.35,43793,40125,1227.3,2440.8,896.78,400,0.67809,0.61191,0.029495,0.036685
51.4,43771,40122,1229.5,2419.2,898.96,400,0.67777,0.61186,0.029548,0.036361
51.45,43749,40119,1231.8,2397.6,901.14,400,0.67746,0.61182,0.029602,0.036036
51.5,43727,40117,1234,2376,903.34,400,0.67715,0.61178,0.029656,0.035711
51.55,43705,40114,1236.3,2354.4,905.55,400,0.67684,0.61174,0.02971,0.035387
51.6,43683,40112,1238.6,2332.8,907.77,400,0.67653,0.61171,0.029765,0.035062
51.65,43662,40110,1240.9,2311.2,910,400,0.67623,0.61167,0.02982,0.034737
51.7,43640,40107,1243.2,2289.6,912.24,400,0.67593,0.61164,0.029876,0.034413
51.75,43619,40105,1245.5,2268,914.49,400,0.67562,0.6116,0.029931,0.034088
51.8,43597,40103,1247.8,2246.4,916.76,400,0.67532,0.61157,0.029988,0.033763
51.85,43576,40101,1250.2,2224.8,919.03,400,0.67503,0.61154,0.030045,0.033439
51.9,43555,40099,1252.6,2203.2,921.32,400,0.67473,0.61152,0.030102,0.033114
51.95,43534,40098,1255,2181.6,923.62,400,0.67444,0.61149,0.03016,0.032789
52,43513,40096,1257.4,2160,925.93,400,0.67415,0.61146,0.030218,0.032465
52.05,43493,40094,1259.8,2138.4,928.25,400,0.67386,0.61144,0.030276,0.03214
52.1,43472,40093,1262.3,2116.8,930.58,400,0.67357,0.61142,0.030335,0.031816
52.15,43452,40092,1264.8,2095.2,932.92,400,0.67328,0.6114,0.030395,0.031491
52.2,43431,40090,1267.3,2073.6,935.28,400,0.673,0.61138,0.030455,0.031166
52.25,43411,40089,1269.8,2052,937.65,400,0.67272,0.61136,0.030515,0.030842
52.3,43391,40088,1272.3,2030.4,940.03,400,0.67244,0.61135,0.030576,0.030517
52.35,43371,40087,1274.9,2008.8,942.42,400,0.67216,0.61133,0.030637,0.030192
52.4,43351,40086,1277.4,1987.2,944.82,400,0.67189,0.61132,0.030699,0.029868
52.45,43331,40086,1280,1965.6,947.24,400,0.67161,0.61131,0.030762,0.029543
52.5,43312,40085,1282.6,1944,949.67,400,0.67134,0.6113,0.030824,0.029218
52.55,43292,40085,1285.3,1922.4,952.11,400,0.67107,0.61129,0.030888,0.028894
52.6,43273,40084,1287.9,1900.8,954.56,400,0.6708,0.61128,0.030951,0.028569
52.65,43254,40084,1290.6,1879.2,957.03,400,0.67054,0.61128,0.031016,0.028244
52.7,43235,40084,1293.3,1857.6,959.51,400,0.67028,0.61128,0.03108,0.02792
52.75,43216,40084,1296,1836,962,400,0.67002,0.61128,0.031146,0.027595
52.8,43197,40084,1298.8,1814.4,964.51,400,0.66976,0.61128,0.031212,0.02727
52.85,43178,40084,1301.5,1792.8,967.02,400,0.6695,0.61128,0.031278,0.026946
52.9,43160,40084,1304.3,1771.2,969.56,400,0.66925,0.61128,0.031345,0.026621
52.95,43141,40085,1307.1,1749.6,972.1,400,0.669,0.61129,0.031412,0.026296
53,43123,40085,1309.9,1728,974.66,400,0.66875,0.6113,0.03148,0.025972
53.05,43105,40086,1312.8,1706.4,977.23,400,0.6685,0.61131,0.031549,0.025647
53.1,43087,40086,1315.7,1684.8,979.82,400,0.66826,0.61132,0.031618,0.025323
53.15,43069,40087,1318.6,1663.2,982.41,400,0.66802,0.61133,0.031688,0.024998
53.2,43051,40088,1321.5,1641.6,985.03,400,0.66778,0.61135,0.031758,0.024673
53.25,43034,40089,1324.4,1620,987.65,400,0.66754,0.61136,0.031829,0.024349
53.3,43016,40091,1327.4,1598.4,990.3,400,0.6673,0.61138,0.0319,0.024024
53.35,42999,40092,1330.4,1576.8,992.95,400,0.66707,0.6114,0.031972,0.023699
53.4,42982,40093,1333.4,1555.2,995.62,400,0.66684,0.61142,0.032044,0.023375
53.45,42965,40095,1336.5,1533.6,998.3,400,0.66662,0.61145,0.032118,0.02305
53.5,42948,40097,1339.5,1512,1001,400,0.66639,0.61147,0.032191,0.022725
53.55,42932,40098,1342.6,1490.4,1003.7,400,0.66617,0.6115,0.032266,0.022401
53.6,42915,40100,1345.7,1468.8,1006.4,400,0.66595,0.61153,0.032341,0.022076
53.65,42899,40103,1348.9,1447.2,1009.2,400,0.66573,0.61156,0.032416,0.021751
53.7,42882,40105,1352.1,1425.6,1011.9,400,0.66552,0.6116,0.032493,0.021427
53.75,42866,40107,1355.3,1404,1014.7,400,0.66531,0.61163,0.03257,0.021102
53.8,42851,40110,1358.5,1382.4,1017.5,400,0.6651,0.61167,0.032647,0.020777
53.85,42835,40112,1361.7,1360.8,1020.3,400,0.66489,0.61171,0.032725,0.020453
53.9,42819,40115,1365,1339.2,1023.1,400,0.66469,0.61175,0.032804,0.020128
53.95,42804,40118,1368.3,1317.6,1026,400,0.66448,0.6118,0.032884,0.019804
54,42789,40121,1371.7,1296,1028.8,400,0.66429,0.61184,0.032964,0.019479
54.05,42773,40124,1375,1274.4,1031.7,400,0.66409,0.61189,0.033045,0.019154
54.1,42759,40127,1378.4,1252.8,1034.6,400,0.6639,0.61194,0.033127,0.01883
54.15,42744,40131,1381.9,1231.2,1037.5,400,0.66371,0.61199,0.033209,0.018505
54.2,42729,40134,1385.3,1209.6,1040.4,400,0.66352,0.61205,0.033292,0.01818
54.25,42715,40138,1388.8,1188,1043.3,400,0.66334,0.61211,0.033376,0.017856
54.3,42701,40142,1392.3,1166.4,1046.2,400,0.66316,0.61216,0.03346,0.017531
54.35,42687,40146,1395.9,1144.8,1049.2,400,0.66298,0.61223,0.033545,0.017206
54.4,42673,40150,1399.5,1123.2,1052.2,400,0.6628,0.61229,0.033631,0.016882
54.45,42659,40154,1403.1,1101.6,1055.2,400,0.66263,0.61235,0.033718,0.016557
54.5,42646,40159,1406.7,1080,1058.2,400,0.66246,0.61242,0.033806,0.016232
54.55,42632,40163,1410.4,1058.4,1061.2,400,0.66229,0.61249,0.033894,0.015908
54.6,42619,40168,1414.1,1036.8,1064.3,400,0.66213,0.61257,0.033983,0.015583
54.65,42606,40173,1417.8,1015.2,1067.3,400,0.66197,0.61264,0.034073,0.015258
54.7,42593,40178,1421.6,993.6,1070.4,400,0.66181,0.61272,0.034164,0.014934
54.75,42581,40183,1425.4,972,1073.5,400,0.66166,0.6128,0.034255,0.014609
54.8,42568,40189,1429.2,950.4,1076.7,400,0.66151,0.61288,0.034347,0.014285
54.85,42556,40194,1433.1,928.8,1079.8,400,0.66136,0.61296,0.034441,0.01396
54.9,42544,40200,1437,907.2,1083,400,0.66122,0.61305,0.034535,0.013635
54.95,42532,40206,1441,885.6,1086.1,400,0.66108,0.61314,0.034629,0.013311
55,42521,40212,1445,864,1089.3,400,0.66094,0.61323,0.034725,0.012986
55.05,42509,40218,1449,842.4,1092.5,400,0.66081,0.61332,0.034822,0.012661
55.1,42498,40224,1453,820.8,1095.8,400,0.66068,0.61342,0.034919,0.012337
55.15,42487,40231,1457.1,799.2,1099,400,0.66055,0.61352,0.035017,0.012012
55.2,42476,40237,1461.3,777.6,1102.3,400,0.66042,0.61362,0.035117,0.011687
55.25,42466,40244,1465.4,756,1105.6,400,0.6603,0.61372,0.035217,0.011363
55.3,42455,40251,1469.6,734.4,1108.9,400,0.66019,0.61383,0.035318,0.011038
55.35,42445,40258,1473.9,712.8,1112.2,400,0.66007,0.61394,0.03542,0.010713
55.4,42435,40266,1478.2,691.2,1115.6,400,0.65996,0.61405,0.035523,0.010389
55.45,42425,40273,1482.5,669.6,1118.9,400,0.65986,0.61417,0.035627,0.010064
55.5,42416,40281,1486.9,648,1122.3,400,0.65976,0.61428,0.035732,0.0097394
55.55,42407,40289,1491.3,626.4,1125.7,400,0.65966,0.6144,0.035838,0.0094148
55.6,42397,40297,1495.7,604.8,1129.2,400,0.65956,0.61453,0.035945,0.0090901
55.65,42389,40305,1500.2,583.2,1132.6,400,0.65947,0.61465,0.036053,0.0087655
55.7,42380,40314,1504.8,561.6,1136.1,400,0.65938,0.61478,0.036162,0.0084408
55.75,42371,40322,1509.3,540,1139.6,400,0.6593,0.61491,0.036272,0.0081162
55.8,42363,40331,1514,518.4,1143.1,400,0.65922,0.61505,0.036383,0.0077916
55.85,42355,40340,1518.6,496.8,1146.7,400,0.65915,0.61518,0.036495,0.0074669
55.9,42348,40349,1523.3,475.2,1150.2,400,0.65907,0.61532,0.036609,0.0071423
55.95,42340,40358,1528.1,453.6,1153.8,400,0.65901,0.61547,0.036723,0.0068176
56,42333,40368,1532.9,432,1157.4,400,0.65894,0.61561,0.036839,0.006493
56.05,42326,40378,1537.8,410.4,1161,400,0.65888,0.61576,0.036955,0.0061683
56.1,42319,40388,1542.7,388.8,1164.7,400,0.65883,0.61591,0.037073,0.0058437
56.15,42313,40398,1547.6,367.2,1168.4,400,0.65878,0.61607,0.037192,0.005519
56.2,42306,40408,1552.6,345.6,1172.1,400,0.65873,0.61622,0.037312,0.0051944
56.25,42300,40419,1557.7,324,1175.8,400,0.65869,0.61639,0.037433,0.0048697
56.3,42295,40429,1562.8,302.4,1179.5,400,0.65865,0.61655,0.037556,0.0045451
56.35,42289,40440,1567.9,280.8,1183.3,400,0.65862,0.61672,0.03768,0.0042204
56.4,42284,40452,1573.1,259.2,1187.1,400,0.65859,0.61689,0.037805,0.0038958
56.45,42279,40463,1578.4,237.6,1190.9,400,0.65856,0.61706,0.037931,0.0035711
56.5,42274,40475,1583.7,216,1194.7,400,0.65854,0.61724,0.038058,0.0032465
56.55,42270,40486,1589,194.4,1198.6,400,0.65853,0.61742,0.038187,0.0029218
56.6,42266,40498,1594.4,172.8,1202.5,400,0.65852,0.6176,0.038317,0.0025972
56.65,42262,40511,1599.9,151.2,1206.4,400,0.65851,0.61779,0.038449,0.0022725
56.7,42258,40523,1605.4,129.6,1210.4,400,0.65851,0.61798,0.038581,0.0019479
56.75,42255,40536,1611,108,1214.3,400,0.65851,0.61817,0.038716,0.0016232
56.8,42252,40549,1616.7,86.4,1218.3,400,0.65852,0.61837,0.038851,0.0012986
56.85,42249,40562,1622.3,64.8,1222.3,400,0.65853,0.61857,0.038988,0.00097394
56.9,42247,40575,1628.1,43.2,1226.4,400,0.65855,0.61877,0.039126,0.0006493
56.95,42244,40589,1633.9,21.6,1230.5,400,0.65857,0.61898,0.039266,0.00032465
57,42242,40603,1639.8,0,1234.6,400,0.6586,0.61919,0.039407,0
57.05,42298,40650,1647.7,0,1238.7,401.34,0.65951,0.61991,0.039597,0
57.1,42353,40697,1655.6,0,1242.9,402.68,0.66042,0.62064,0.039788,0
57.15,42409,40745,1663.7,0,1247,404.04,0.66135,0.62137,0.039981,0
57.2,42465,40794,1671.8,0,1251.3,405.41,0.66228,0.6221,0.040177,0
57.25,42522,40842,1680.1,0,1255.5,406.78,0.66322,0.62284,0.040375,0
57.3,42579,40891,1688.4,0,1259.8,408.16,0.66416,0.62359,0.040576,0
57.35,42637,40940,1696.9,0,1264.1,409.56,0.66512,0.62434,0.040779,0
57.4,42695,40990,1705.4,0,1268.4,410.96,0.66608,0.62509,0.040984,0
57.45,42754,41039,1714.1,0,1272.8,412.37,0.66704,0.62585,0.041192,0
57.5,42812,41090,1722.8,0,1277.1,413.79,0.66802,0.62662,0.041403,0
57.55,42872,41140,1731.7,0,1281.6,415.22,0.669,0.62739,0.041616,0
57.6,42932,41191,1740.7,0,1286,416.67,0.67,0.62816,0.041831,0
57.65,42992,41242,1749.7,0,1290.5,418.12,0.671,0.62895,0.042049,0
57.7,43053,41294,1758.9,0,1295,419.58,0.672,0.62973,0.04227,0
57.75,43114,41346,1768.2,0,1299.5,421.05,0.67302,0.63053,0.042494,0
57.8,43176,41398,1777.7,0,1304.1,422.54,0.67404,0.63132,0.04272,0
57.85,43238,41451,1787.2,0,1308.7,424.03,0.67508,0.63213,0.042949,0
57.9,43301,41504,1796.8,0,1313.4,425.53,0.67612,0.63294,0.043181,0
57.95,43364,41558,1806.6,0,1318,427.05,0.67717,0.63375,0.043416,0
58,43428,41611,1816.5,0,1322.8,428.57,0.67823,0.63457,0.043654,0
58.05,43492,41666,1826.5,0,1327.5,430.11,0.6793,0.6354,0.043895,0
58.1,43557,41720,1836.7,0,1332.3,431.65,0.68037,0.63623,0.044139,0
58.15,43622,41775,1847,0,1337.1,433.21,0.68146,0.63707,0.044386,0
58.2,43688,41831,1857.4,0,1341.9,434.78,0.68255,0.63792,0.044636,0
58.25,43754,41887,1867.9,0,1346.8,436.36,0.68366,0.63877,0.044889,0
58.3,43821,41943,1878.6,0,1351.7,437.96,0.68477,0.63963,0.045146,0
58.35,43889,41999,1889.4,0,1356.7,439.56,0.6859,0.64049,0.045406,0
58.4,43957,42056,1900.3,0,1361.7,441.18,0.68703,0.64136,0.045669,0
58.45,44025,42114,1911.4,0,1366.7,442.8,0.68817,0.64224,0.045935,0
58.5,44095,42172,1922.7,0,1371.7,444.44,0.68933,0.64312,0.046206,0
58.55,44164,42230,1934.1,0,1376.8,446.1,0.69049,0.64401,0.046479,0
58.6,44235,42289,1945.6,0,1382,447.76,0.69166,0.64491,0.046756,0
58.65,44305,42348,1957.3,0,1387.2,449.44,0.69285,0.64581,0.047037,0
58.7,44377,42408,1969.1,0,1392.4,451.13,0.69404,0.64672,0.047322,0
58.75,44449,42468,1981.1,0,1397.6,452.83,0.69525,0.64764,0.04761,0
58.8,44522,42528,1993.3,0,1402.9,454.55,0.69646,0.64856,0.047902,0
58.85,44595,42590,2005.6,0,1408.3,456.27,0.69769,0.64949,0.048198,0
58.9,44669,42651,2018.1,0,1413.6,458.02,0.69893,0.65043,0.048498,0
58.95,44744,42713,2030.7,0,1419,459.77,0.70017,0.65137,0.048802,0
59,44819,42775,2043.6,0,1424.5,461.54,0.70143,0.65232,0.04911,0
59.05,44895,42838,2056.5,0,1430,463.32,0.70271,0.65328,0.049423,0
59.1,44971,42902,2069.7,0,1435.5,465.12,0.70399,0.65425,0.049739,0
59.15,45049,42966,2083.1,0,1441.1,466.93,0.70529,0.65523,0.05006,0
59.2,45127,43030,2096.6,0,1446.8,468.75,0.70659,0.65621,0.050385,0
59.25,45205,43095,2110.3,0,1452.4,470.59,0.70791,0.6572,0.050715,0
59.3,45285,43160,2124.2,0,1458.2,472.44,0.70924,0.65819,0.051049,0
59.35,45365,43226,2138.3,0,1463.9,474.31,0.71059,0.6592,0.051388,0
59.4,45445,43293,2152.6,0,1469.7,476.19,0.71195,0.66021,0.051732,0
59.45,45527,43360,2167.1,0,1475.6,478.09,0.71332,0.66124,0.052081,0
59.5,45609,43427,2181.9,0,1481.5,480,0.7147,0.66226,0.052434,0
59.55,45692,43495,2196.8,0,1487.4,481.93,0.71609,0.6633,0.052792,0
59.6,45776,43564,2211.9,0,1493.4,483.87,0.7175,0.66435,0.053156,0
59.65,45860,43633,2227.2,0,1499.5,485.83,0.71893,0.6654,0.053524,0
59.7,45946,43703,2242.8,0,1505.6,487.8,0.72037,0.66647,0.053898,0
59.75,46032,43773,2258.6,0,1511.7,489.8,0.72182,0.66754,0.054277,0
59.8,46119,43844,2274.6,0,1517.9,491.8,0.72328,0.66862,0.054662,0
59.85,46206,43915,2290.8,0,1524.2,493.83,0.72476,0.66971,0.055052,0
59.9,46295,43987,2307.3,0,1530.5,495.87,0.72626,0.67081,0.055448,0
59.95,46384,44060,2324,0,1536.8,497.93,0.72777,0.67192,0.05585,0
60,46474,44133,2341,0,1543.2,500,0.72929,0.67303,0.056257,0
60.05,46565,44207,2358.2,0,1549.7,502.09,0.73083,0.67416,0.056671,0
60.1,46657,44282,2375.6,0,1556.2,504.2,0.73239,0.6753,0.05709,0
